"idPsa","rasa","wiek","płeć","liczba zdobytych medali","idWlasciciela"
"96","sznaucer olbrzym","5","samiec","4","88"
"97","alaskan malamute","2","samiec","2","24"
"98","terier australijski","1","samiec","0","21"
"99","buldog francuski","2","samiec","0","120"
"100","terier walijski","3","samiec","1","75"
"101","chihuahua","2","samica","4","11"
"102","bernardyn krótkowłosy","4","samica","3","59"
"103","foksterier szorstkowłosy","4","samiec","1","20"
"104","rottweiler","1","samica","4","118"
"105","szpic fiński","3","samiec","0","30"
"106","dog argentyński","4","samiec","2","83"
"107","bosker","1","samiec","4","44"
"108","owczarek kaukaski","1","samiec","0","53"
"109","cocker spaniel angielski","1","samica","1","64"
"110","buldog angielski","5","samiec","0","100"
"111","labrador retriever","1","samiec","3","28"
"112","szpic włoski","4","samica","4","7"
"113","mops","3","samica","2","34"
"114","terier czeski","2","samiec","0","166"
"115","seter szkocki","3","samica","2","69"
"116","bernardyn długowłosy","2","samica","0","51"
"117","dog argentyński","1","samiec","1","112"
"118","doberman","1","samiec","4","73"
"119","terier szkocki","3","samica","4","103"
"120","szpic miniaturowy","3","samiec","2","71"
"121","labrador retriever","3","samiec","4","91"
"122","wyżeł niemiecki szorstkowłosy","4","samiec","0","86"
"123","chart szkocki","5","samica","3","103"
"124","dog argentyński","2","samiec","4","111"
"125","buldog angielski","4","samiec","2","142"
"126","seter szkocki","3","samica","4","186"
"127","dog argentyński","2","samiec","4","40"
"128","bosker","2","samica","0","40"
"129","bulterier","2","samiec","4","107"
"130","bernardyn krótkowłosy","3","samica","0","32"
"131","alaskan malamute","2","samiec","2","8"
"132","wyżeł włoski krótkowłosy","1","samica","3","57"
"133","terier tybetański","4","samica","3","199"
"134","chihuahua","2","samica","2","111"
"135","bulterier","3","samiec","4","171"
"136","bernardyn długowłosy","4","samiec","0","84"
"137","jamnik szorstkowłosy","3","samiec","0","103"
"138","owczarek szkocki krótkowłosy","2","samica","2","142"
"139","dog kanaryjski","5","samiec","4","52"
"140","owczarek kraski","2","samica","2","111"
"141","jamnik długowłosy","5","samiec","4","102"
"142","pudel duży","1","samica","0","65"
"143","chart perski","4","samiec","3","8"
"144","chart węgierski","4","samica","0","129"
"145","wyżeł włoski krótkowłosy","5","samica","1","157"
"146","wyżeł włoski szorstkowłosy","4","samica","3","186"
"147","terier walijski","2","samiec","0","193"
"148","chart rosyjski","2","samica","0","164"
"149","owczarek kaukaski","4","samiec","4","114"
"150","owczarek środkowoazjatycki","1","samica","0","48"
"151","owczarek szkocki długowłosy","5","samica","3","173"
"152","foksterier szorstkowłosy","3","samiec","2","145"
"153","seter irlandzki","1","samica","0","42"
"154","owczarek kaukaski","1","samica","0","60"
"155","terier australijski","2","samica","1","113"
"156","terier irlandzki","2","samica","3","166"
"157","wyżeł niemiecki krótkowłosy","2","samiec","2","82"
"158","owczarek szkocki długowłosy","3","samiec","1","181"
"159","chart węgierski","5","samica","0","120"
"160","labrador retriever","5","samiec","1","84"
"161","owczarek kataloński","5","samica","0","40"
"162","jamnik długowłosy","4","samiec","2","118"
"163","rottweiler","4","samiec","0","181"
"164","terier australijski","1","samiec","4","98"
"165","labrador retriever","3","samiec","0","53"
"166","terier szkocki","5","samica","4","69"
"167","mops","2","samiec","1","173"
"168","terier australijski","2","samica","1","124"
"169","alaskan malamute","3","samiec","1","154"
"170","bulterier","1","samica","3","139"
"171","labrador retriever","5","samiec","1","11"
"172","terier irlandzki","1","samica","1","133"
"173","cocker spaniel angielski","4","samiec","1","78"
"174","chart węgierski","3","samica","0","191"
"175","terier tybetański","3","samiec","1","180"
"176","buldog angielski","3","samica","0","144"
"177","chart afgański","1","samica","0","173"
"178","komondor","2","samica","3","191"
"179","chart szkocki","1","samiec","4","8"
"180","chart hiszpański","3","samiec","1","88"
"181","owczarek holenderski","4","samica","3","25"
"182","seter szkocki","3","samica","1","100"
"183","dog kanaryjski","3","samiec","4","3"
"184","chart afgański","2","samiec","0","120"
"185","chart perski","5","samiec","3","41"
"186","bernardyn długowłosy","2","samica","3","78"
"187","bernardyn krótkowłosy","1","samiec","1","68"
"188","szpic fiński","2","samiec","4","84"
"189","terier australijski","1","samiec","4","179"
"190","dog argentyński","3","samica","4","118"
"191","bulterier","4","samiec","4","85"
"192","pudel średni","4","samiec","0","22"
"193","owczarek szkocki krótkowłosy","4","samica","4","9"
"194","foksterier szorstkowłosy","3","samiec","4","15"
"195","jamnik szorstkowłosy","2","samica","0","87"
"196","dog argentyński","5","samiec","4","103"
"197","dog argentyński","1","samiec","0","52"
"198","owczarek kaukaski","3","samiec","1","147"
"199","chart hiszpański","1","samiec","4","49"
"200","labrador retriever","1","samica","2","165"
"201","wyżeł węgierski krótkowłosy","3","samica","4","83"
"202","komondor","5","samica","3","89"
"203","chart szkocki","5","samiec","4","29"
"204","dalmatyńczyk","4","samica","2","109"
"205","cocker spaniel angielski","5","samiec","2","49"
"206","sznaucer miniaturowy","2","samica","1","134"
"207","terier irlandzki","4","samica","1","110"
"208","seter angielski","1","samica","2","85"
"209","foksterier szorstkowłosy","2","samiec","4","44"
"210","owczarek szkocki krótkowłosy","1","samica","4","83"
"211","owczarek kataloński","2","samica","0","157"
"212","seter irlandzki","4","samiec","4","41"
"213","owczarek szkocki krótkowłosy","3","samica","2","2"
"214","szpic włoski","2","samica","3","140"
"215","jamnik krótkowłosy","4","samica","4","172"
"216","terier walijski","3","samiec","0","17"
"217","cocker spaniel angielski","2","samica","2","140"
"218","wyżeł niemiecki długowłosy","5","samiec","3","163"
"219","pudel miniaturowy","3","samica","3","44"
"220","owczarek szkocki długowłosy","4","samiec","2","25"
"221","dog argentyński","1","samiec","0","72"
"222","buldog angielski","2","samiec","0","77"
"223","owczarek szetlandzki","1","samiec","3","34"
"224","cocker spaniel angielski","4","samiec","2","50"
"225","bernardyn długowłosy","3","samiec","3","33"
"226","terier walijski","3","samica","0","68"
"227","chart szkocki","5","samica","0","144"
"228","komondor","4","samica","4","57"
"229","seter irlandzki","4","samica","2","78"
"230","wyżeł włoski krótkowłosy","3","samiec","3","171"
"231","wyżeł niemiecki krótkowłosy","5","samiec","4","147"
"232","owczarek kataloński","1","samiec","4","101"
"233","labrador retriever","5","samiec","0","44"
"234","seter szkocki","1","samiec","4","81"
"235","terier australijski","2","samica","4","132"
"236","bernardyn krótkowłosy","4","samiec","4","78"
"237","pudel miniaturowy","1","samiec","3","118"
"238","foksterier krótkowłosy","5","samica","2","181"
"239","seter irlandzki","3","samiec","4","66"
"240","chart perski","5","samiec","4","144"
"241","chart polski","3","samica","3","14"
"242","owczarek kraski","4","samica","3","49"
"243","bernardyn długowłosy","2","samica","3","86"
"244","chart rosyjski","3","samiec","1","100"
"245","owczarek niemiecki","1","samica","2","27"
"246","labrador retriever","2","samiec","3","149"
"247","komondor","4","samiec","0","13"
"248","terier walijski","1","samica","4","66"
"249","owczarek podhalański","5","samica","1","134"
"250","foksterier szorstkowłosy","1","samica","2","95"
"251","szpic miniaturowy","1","samiec","0","165"
"252","sznaucer olbrzym","2","samiec","4","69"
"253","dog niemiecki","3","samiec","3","63"
"254","jamnik krótkowłosy","1","samiec","1","13"
"255","wyżeł włoski szorstkowłosy","5","samiec","2","128"
"256","chart polski","4","samica","1","113"
"257","szpic włoski","2","samica","2","22"
"258","owczarek szkocki krótkowłosy","5","samiec","2","37"
"259","alaskan malamute","5","samiec","0","21"
"260","alaskan malamute","3","samica","3","126"
"261","jamnik długowłosy","1","samiec","4","22"
"262","terier szkocki","3","samiec","4","44"
"263","foksterier krótkowłosy","2","samica","1","30"
"264","terier czeski","3","samica","3","27"
"265","pekińczyk","3","samiec","4","200"
"266","wyżeł węgierski krótkowłosy","5","samica","3","156"
"267","buldog angielski","5","samica","2","32"
"268","owczarek szkocki krótkowłosy","4","samica","2","74"
"269","szpic miniaturowy","3","samiec","4","197"
"270","owczarek szkocki długowłosy","3","samica","4","96"
"271","seter szkocki","1","samica","1","130"
"272","wyżeł niemiecki krótkowłosy","2","samiec","2","95"
"273","szpic włoski","3","samica","2","101"
"274","buldog angielski","3","samiec","0","118"
"275","terier czeski","2","samica","4","96"
"276","owczarek niemiecki","3","samiec","3","43"
"277","sznaucer miniaturowy","4","samica","1","82"
"278","pudel miniaturowy","3","samiec","4","191"
"279","cocker spaniel amerykański","5","samiec","3","196"
"280","alaskan malamute","4","samiec","0","97"
"281","owczarek kataloński","4","samica","3","192"
"282","owczarek kraski","2","samica","3","34"
"283","chart rosyjski","3","samiec","4","108"
"284","chart afgański","5","samica","0","155"
"285","wyżeł włoski krótkowłosy","4","samica","0","10"
"286","wyżeł węgierski szorstkowłosy","3","samica","1","34"
"287","mops","5","samiec","4","12"
"288","cocker spaniel angielski","3","samica","2","7"
"289","komondor","5","samica","0","90"
"290","bernardyn krótkowłosy","4","samiec","3","35"
"291","owczarek szkocki krótkowłosy","4","samiec","3","160"
"292","terier czeski","4","samiec","2","86"
"293","wyżeł węgierski szorstkowłosy","3","samica","2","126"
"294","labrador retriever","4","samiec","0","187"
"295","owczarek szetlandzki","4","samiec","3","27"
"296","owczarek kaukaski","2","samica","0","90"
"297","sznaucer olbrzym","4","samica","3","191"
"298","terier szkocki","3","samiec","0","37"
"299","wyżeł włoski krótkowłosy","5","samica","4","109"
"300","alaskan malamute","5","samica","2","99"
"301","wyżeł węgierski szorstkowłosy","5","samiec","4","171"
"302","jamnik szorstkowłosy","1","samica","4","102"
"303","terier walijski","3","samiec","0","122"
"304","seter irlandzki","4","samica","4","180"
"305","chart węgierski","4","samica","2","46"
"306","wyżeł niemiecki szorstkowłosy","3","samiec","3","180"
"307","cocker spaniel amerykański","1","samica","4","195"
"308","labrador retriever","1","samica","3","40"
"309","chihuahua","1","samiec","3","69"
"310","polski owczarek nizinny","2","samiec","1","104"
"311","seter irlandzki","4","samica","3","22"
"312","wyżeł węgierski szorstkowłosy","2","samiec","1","102"
"313","bernardyn długowłosy","1","samica","1","112"
"314","pudel duży","4","samiec","4","97"
"315","terier tybetański","1","samiec","1","124"
"316","dog niemiecki","3","samiec","4","199"
"317","wyżeł włoski krótkowłosy","4","samiec","0","40"
"318","terier walijski","1","samiec","2","94"
"319","wyżeł włoski szorstkowłosy","5","samica","1","147"
"320","bosker","2","samiec","1","177"
"321","pekińczyk","2","samiec","2","21"
"322","wyżeł włoski krótkowłosy","2","samica","3","60"
"323","owczarek szetlandzki","4","samiec","4","52"
"324","seter angielski","5","samiec","0","120"
"325","bosker","1","samica","3","112"
"326","pudel miniaturowy","4","samiec","2","191"
"327","owczarek holenderski","2","samiec","0","42"
"328","terier tybetański","3","samica","0","36"
"329","buldog francuski","5","samiec","0","57"
"330","owczarek kaukaski","5","samica","2","74"
"331","pudel miniaturowy","3","samica","0","145"
"332","polski owczarek nizinny","1","samica","3","180"
"333","terier szkocki","3","samica","3","133"
"334","chart hiszpański","1","samica","0","129"
"335","buldog francuski","2","samiec","0","152"
"336","terier tybetański","3","samica","0","142"
"337","wyżeł węgierski krótkowłosy","1","samiec","3","107"
"338","pekińczyk","5","samica","1","132"
"339","bulterier","4","samica","4","96"
"340","owczarek szkocki długowłosy","4","samiec","3","139"
"341","wyżeł niemiecki szorstkowłosy","2","samica","3","118"
"342","bernardyn krótkowłosy","4","samiec","1","83"
"343","seter szkocki","1","samica","4","16"
"344","bulterier","5","samica","0","92"
"345","owczarek podhalański","3","samica","2","16"
"346","mops","5","samica","3","144"
"347","pudel miniaturowy","4","samiec","0","133"
"348","sznaucer miniaturowy","3","samiec","2","131"
"349","chart szkocki","2","samiec","2","162"
"350","wyżeł węgierski szorstkowłosy","2","samiec","3","131"
"351","terier australijski","2","samica","1","16"
"352","szpic miniaturowy","2","samica","2","169"
"353","owczarek kaukaski","2","samiec","1","138"
"354","dog argentyński","2","samica","1","127"
"355","pudel duży","4","samiec","3","21"
"356","komondor","4","samiec","1","101"
"357","chart hiszpański","2","samiec","2","80"
"358","terier tybetański","3","samica","2","175"
"359","chihuahua","1","samica","3","49"
"360","owczarek holenderski","3","samica","1","60"
"361","terier irlandzki","2","samica","1","123"
"362","cocker spaniel amerykański","4","samiec","2","118"
"363","seter angielski","3","samica","2","79"
"364","dog argentyński","5","samiec","0","77"
"365","jamnik długowłosy","1","samiec","3","73"
"366","seter irlandzki","1","samica","2","142"
"367","mops","4","samica","4","37"
"368","buldog francuski","2","samica","4","44"
"369","owczarek szetlandzki","4","samiec","1","118"
"370","chart rosyjski","5","samiec","4","162"
"371","jamnik szorstkowłosy","4","samica","1","12"
"372","wyżeł niemiecki długowłosy","1","samiec","0","183"
"373","sznaucer olbrzym","5","samica","1","20"
"374","wyżeł niemiecki szorstkowłosy","3","samiec","0","52"
"375","chart perski","2","samica","0","68"
"376","bosker","1","samiec","4","34"
"377","szpic miniaturowy","3","samiec","0","64"
"378","chart rosyjski","1","samica","2","52"
"379","bernardyn krótkowłosy","3","samica","4","85"
"380","sznaucer miniaturowy","2","samiec","2","160"
"381","chart rosyjski","3","samiec","3","130"
"382","terier szkocki","2","samiec","1","179"
"383","owczarek szkocki długowłosy","5","samiec","4","11"
"384","jamnik szorstkowłosy","3","samiec","4","135"
"385","mops","4","samiec","0","44"
"386","wyżeł niemiecki długowłosy","3","samiec","0","89"
"387","buldog francuski","1","samiec","3","169"
"388","terier walijski","5","samica","0","97"
"389","chart afgański","4","samica","3","24"
"390","wyżeł niemiecki krótkowłosy","1","samica","4","190"
"391","chart rosyjski","1","samiec","3","66"
"392","chart rosyjski","2","samiec","1","46"
"393","chart polski","5","samiec","3","85"
"394","pudel średni","2","samiec","3","162"
"395","owczarek szkocki długowłosy","4","samica","1","148"
"396","terier szkocki","4","samiec","0","77"
"397","chart perski","5","samica","1","55"
"398","owczarek kataloński","5","samica","3","159"
"399","doberman","5","samiec","4","26"
"400","owczarek szkocki krótkowłosy","1","samiec","4","185"
"401","pudel średni","5","samica","2","62"
"402","terier szkocki","2","samiec","3","79"
"403","cocker spaniel angielski","2","samica","1","167"
"404","wyżeł niemiecki długowłosy","4","samica","2","176"
"405","terier australijski","2","samica","4","1"
"406","owczarek niemiecki","5","samiec","3","98"
"407","seter angielski","3","samiec","4","51"
"408","pudel miniaturowy","5","samiec","3","154"
"409","chart afgański","1","samiec","2","45"
"410","wyżeł węgierski szorstkowłosy","3","samica","3","59"
"411","sznaucer olbrzym","5","samiec","4","160"
"412","chart polski","3","samica","4","174"
"413","chart szkocki","3","samiec","0","46"
"414","pudel średni","5","samiec","2","171"
"415","dog argentyński","1","samica","2","189"
"416","terier australijski","1","samica","4","84"
"417","foksterier szorstkowłosy","3","samica","0","194"
"418","owczarek niemiecki","1","samiec","1","41"
"419","terier australijski","5","samica","4","191"
"420","cocker spaniel amerykański","2","samiec","2","115"
"421","owczarek szetlandzki","2","samiec","1","134"
"422","bulterier","2","samica","4","118"
"423","pudel miniaturowy","3","samica","1","44"
"424","owczarek holenderski","1","samica","3","85"
"425","bosker","4","samica","1","131"
"426","pudel duży","1","samiec","1","54"
"427","wyżeł węgierski krótkowłosy","4","samiec","0","2"
"428","terier tybetański","1","samiec","2","55"
"429","sznaucer olbrzym","2","samiec","0","155"
"430","pudel miniaturowy","3","samiec","2","196"
"431","buldog angielski","1","samiec","2","132"
"432","bulterier","5","samiec","4","20"
"433","wyżeł włoski szorstkowłosy","2","samica","4","17"
"434","pudel średni","2","samica","0","124"
"435","szpic niemiecki","4","samica","2","72"
"436","owczarek szetlandzki","5","samica","4","21"
"437","dog kanaryjski","1","samiec","4","165"
"438","seter irlandzki","1","samiec","1","146"
"439","terier szkocki","2","samica","0","137"
"440","dalmatyńczyk","2","samica","1","105"
"441","owczarek kaukaski","2","samiec","0","106"
"442","owczarek kraski","1","samiec","0","33"
"443","bosker","1","samiec","0","92"
"444","komondor","5","samica","1","150"
"445","foksterier krótkowłosy","2","samica","1","156"
"446","szpic miniaturowy","5","samica","0","177"
"447","jamnik szorstkowłosy","1","samiec","4","144"
"448","terier walijski","3","samica","1","38"
"449","szpic fiński","2","samica","3","96"
"450","jamnik długowłosy","5","samica","1","82"
"451","terier szkocki","2","samica","3","128"
"452","chart afgański","1","samiec","2","101"
"453","seter angielski","2","samica","3","192"
"454","dog kanaryjski","2","samiec","1","8"
"455","dog argentyński","3","samica","0","124"
"456","buldog angielski","2","samiec","0","170"
"457","chart perski","4","samica","1","170"
"458","owczarek szkocki długowłosy","4","samiec","0","93"
"459","dog argentyński","5","samiec","2","24"
"460","pudel miniaturowy","4","samica","0","26"
"461","chart węgierski","1","samica","4","100"
"462","alaskan malamute","1","samiec","1","117"
"463","dog kanaryjski","3","samiec","2","82"
"464","szpic fiński","1","samica","4","55"
"465","polski owczarek nizinny","5","samica","3","117"
"466","chart afgański","3","samiec","1","154"
"467","chart afgański","3","samica","0","144"
"468","bernardyn długowłosy","4","samica","1","154"
"469","owczarek szkocki długowłosy","5","samiec","1","107"
"470","terier tybetański","2","samiec","3","168"
"471","pudel duży","2","samica","2","164"
"472","owczarek kataloński","4","samica","2","121"
"473","dog niemiecki","5","samica","2","48"
"474","buldog angielski","2","samiec","1","191"
"475","owczarek holenderski","5","samica","3","18"
"476","chart polski","4","samiec","0","115"
"477","cocker spaniel amerykański","1","samica","0","52"
"478","dalmatyńczyk","1","samica","3","105"
"479","owczarek holenderski","4","samiec","0","58"
"480","bulterier","1","samica","1","173"
"481","dog kanaryjski","5","samiec","0","147"
"482","wyżeł włoski szorstkowłosy","3","samica","1","146"
"483","wyżeł niemiecki krótkowłosy","4","samica","1","164"
"484","cocker spaniel amerykański","4","samiec","0","36"
"485","chart rosyjski","1","samiec","3","9"
"486","szpic fiński","1","samiec","1","67"
"487","cocker spaniel amerykański","1","samica","1","36"
"488","komondor","2","samiec","2","104"
"489","chart afgański","1","samica","4","192"
"490","jamnik długowłosy","2","samica","1","93"
"491","wyżeł niemiecki długowłosy","4","samica","2","75"
"492","dog niemiecki","3","samica","0","115"
"493","chart szkocki","1","samica","2","107"
"494","owczarek szkocki długowłosy","4","samiec","4","101"
"495","chart węgierski","4","samica","0","88"
"496","terier szkocki","4","samica","4","28"
"497","cocker spaniel amerykański","2","samiec","1","191"
"498","jamnik szorstkowłosy","2","samica","1","28"
"499","terier walijski","4","samica","3","14"
"500","chart afgański","2","samiec","3","165"
"501","wyżeł węgierski szorstkowłosy","4","samiec","1","60"
"502","szpic niemiecki","4","samiec","0","32"
"503","terier australijski","2","samica","3","156"
"504","labrador retriever","3","samica","2","98"
"505","owczarek kataloński","5","samiec","2","34"
"506","chihuahua","5","samiec","4","55"
"507","chihuahua","5","samica","1","40"
"508","chart rosyjski","4","samica","0","183"
"509","wyżeł węgierski szorstkowłosy","5","samica","3","186"
"510","buldog angielski","2","samica","3","90"
"511","bosker","1","samiec","1","162"
"512","foksterier krótkowłosy","1","samica","4","48"
"513","jamnik krótkowłosy","2","samiec","2","45"
"514","wyżeł włoski szorstkowłosy","5","samiec","3","74"
"515","owczarek podhalański","1","samica","1","145"
"516","owczarek kaukaski","4","samiec","3","14"
"517","buldog angielski","2","samica","1","21"
"518","owczarek kaukaski","1","samica","0","26"
"519","owczarek kataloński","2","samica","3","58"
"520","sznaucer olbrzym","3","samica","3","186"
"521","owczarek szetlandzki","4","samica","1","141"
"522","cocker spaniel amerykański","3","samica","1","151"
"523","terier czeski","3","samiec","4","33"
"524","dalmatyńczyk","4","samica","0","150"
"525","owczarek kraski","1","samica","2","94"
"526","owczarek podhalański","1","samiec","0","197"
"527","terier australijski","3","samiec","3","131"
"528","pekińczyk","3","samiec","2","159"
"529","owczarek niemiecki","2","samica","1","5"
"530","wyżeł niemiecki szorstkowłosy","4","samiec","0","40"
"531","chart perski","5","samiec","0","112"
"532","szpic fiński","1","samiec","4","171"
"533","buldog francuski","5","samiec","3","170"
"534","chart hiszpański","2","samica","0","168"
"535","chart polski","5","samica","4","146"
"536","owczarek kaukaski","1","samica","2","38"
"537","owczarek kaukaski","5","samiec","2","48"
"538","terier walijski","4","samiec","1","58"
"539","bernardyn krótkowłosy","4","samiec","1","185"
"540","owczarek kraski","2","samica","1","62"
"541","pekińczyk","3","samiec","2","197"
"542","seter irlandzki","3","samica","3","165"
"543","bernardyn krótkowłosy","4","samica","3","122"
"544","foksterier szorstkowłosy","5","samica","1","36"
"545","komondor","5","samica","3","173"
"546","owczarek środkowoazjatycki","3","samica","3","148"
"547","chart perski","4","samiec","2","121"
"548","dog argentyński","3","samiec","1","21"
"549","chart szkocki","1","samica","0","155"
"550","dog niemiecki","1","samica","4","159"
"551","rottweiler","1","samica","3","30"
"552","dog argentyński","1","samica","3","38"
"553","chart perski","2","samiec","1","196"
"554","chart hiszpański","1","samiec","1","63"
"555","chart afgański","3","samiec","3","133"
"556","chart polski","3","samica","0","39"
"557","chart polski","2","samiec","4","6"
"558","terier czeski","2","samica","1","158"
"559","pudel duży","4","samica","2","164"
"560","pudel duży","2","samica","4","85"
"561","owczarek szetlandzki","5","samiec","1","157"
"562","szpic miniaturowy","5","samiec","3","73"
"563","owczarek szkocki długowłosy","1","samiec","2","192"
"564","terier szkocki","3","samica","0","190"
"565","jamnik długowłosy","5","samiec","0","43"
"566","foksterier szorstkowłosy","1","samica","0","90"
"567","owczarek holenderski","4","samica","4","84"
"568","owczarek szkocki długowłosy","4","samica","2","186"
"569","terier szkocki","5","samiec","0","96"
"570","terier szkocki","5","samica","2","181"
"571","wyżeł włoski krótkowłosy","2","samiec","4","53"
"572","jamnik krótkowłosy","2","samiec","2","14"
"573","seter szkocki","3","samiec","0","137"
"574","jamnik szorstkowłosy","2","samica","3","81"
"575","terier czeski","5","samica","2","134"
"576","bosker","3","samica","0","131"
"577","wyżeł niemiecki krótkowłosy","4","samiec","0","67"
"578","chart hiszpański","4","samica","2","175"
"579","chihuahua","2","samiec","1","192"
"580","foksterier szorstkowłosy","5","samica","1","27"
"581","komondor","1","samica","2","145"
"582","terier szkocki","3","samica","1","141"
"583","seter szkocki","4","samica","1","149"
"584","szpic miniaturowy","5","samica","0","133"
"585","szpic niemiecki","1","samica","4","69"
"586","jamnik krótkowłosy","1","samica","4","81"
"587","bernardyn długowłosy","5","samica","1","26"
"588","chart polski","5","samica","3","128"
"589","jamnik szorstkowłosy","4","samiec","4","149"
"590","sznaucer olbrzym","2","samica","3","174"
"591","owczarek kataloński","1","samiec","3","127"
"592","pekińczyk","1","samica","2","55"
"593","chart węgierski","3","samica","3","77"
"594","owczarek kaukaski","1","samiec","1","80"
"595","chart hiszpański","4","samica","3","3"
"596","foksterier szorstkowłosy","4","samiec","3","15"
"597","terier australijski","4","samica","2","198"
"598","terier szkocki","4","samica","3","159"
"599","seter szkocki","5","samica","2","30"
"600","dog kanaryjski","2","samica","4","111"
"601","wyżeł włoski szorstkowłosy","3","samiec","3","102"
"602","cocker spaniel amerykański","5","samica","1","99"
"603","jamnik długowłosy","4","samica","4","58"
"604","jamnik krótkowłosy","1","samiec","4","180"
"605","sznaucer miniaturowy","4","samica","4","111"
"606","szpic niemiecki","1","samica","1","91"
"607","jamnik długowłosy","4","samica","1","66"
"608","foksterier krótkowłosy","3","samiec","3","123"
"609","dog argentyński","5","samiec","2","142"
"610","wyżeł niemiecki krótkowłosy","4","samiec","1","172"
"611","owczarek szkocki długowłosy","1","samiec","1","32"
"612","owczarek kraski","4","samiec","1","118"
